Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
CC|ARAT|46.789|-121.853|1822.44|Mount Ararat|2020-08-06T00:00:00|2599-12-31T23:59:59
CC|COPP|46.79798|-121.82875|1895.0|COPP|2022-09-20T11:00:00|2599-12-31T23:59:59
CC|CRBN|46.988155|-121.961026|500.08|Carbon River Ranger Station|2020-10-22T00:00:00|2599-12-31T23:59:59
CC|GTWY|46.740208|-121.916966|617.235|Gateway Entrance Station|2020-10-28T20:00:00|2599-12-31T23:59:59
CC|KAUT|46.730263|-121.857381|689.0|Kautz Creek Helibase|2020-09-02T00:00:00|2599-12-31T23:59:59
CC|MILD|46.8081|-121.77568|2015.59|Mildred Point|2022-09-20T00:00:00|2599-12-31T23:59:59
CC|OPCH|46.731288|-121.5713|593.43|Ohanapecosh Administrative Area|2020-10-26T00:00:00|2599-12-31T23:59:59
CC|PARA|46.786441|-121.742195|1651.18|Paradise Precip Tower|2020-10-07T00:00:00|2599-12-31T23:59:59
CC|PR01|46.910103|-122.037586|648.0|Puyallup River 01|2016-11-03T00:00:00|2599-12-31T23:59:59
CC|PR02|46.918303|-122.048695|461.0|Puyallup River 02|2016-11-17T00:00:00|2599-12-31T23:59:59
CC|PR03|46.903433|-122.032691|523.0|Puyallup River 03|2016-09-15T00:00:00|2599-12-31T23:59:59
CC|PR04|46.929773|-121.988592|908.0|Puyallup River 04|2017-01-01T00:00:00|2599-12-31T23:59:59
CC|PR05|46.841723|-121.948863|1553.0|Puyallup River 05|2017-09-28T00:00:00|2599-12-31T23:59:59
CC|SIFT|46.86683|-121.95329|732.0|Swift Creek|2019-06-20T00:00:00|2599-12-31T23:59:59
CC|STYX|46.963747|-122.080535|568.31|STYX|2022-05-25T00:00:00|2599-12-31T23:59:59
CC|TABR|46.80435|-121.84948|1278.18|Tahoma Bridge|2022-09-26T00:00:00|2599-12-31T23:59:59
CC|TAVI|46.7957|-121.88423|1054.65|Tahoma Vista|2022-09-26T00:00:00|2599-12-31T23:59:59
CC|WOW|46.78003|-121.8851|875.45|Mount Wow|2022-09-27T00:00:00|2599-12-31T23:59:59
