event_ID,location_latitude,location_longitude,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees),direction_snr(degrees),duration(sec),params_std_deviation,velocity(m/s),number_of_stations,Label
3179368,46.855383012360406,-121.78493986694164,7400.0,2021-12-22T04:47:34.075000Z,206.0152716922639,233.7550719480842,213.90355782140688,25.149999999999988,"0.448269634,1.29224505,0.30952015",85.97094311615052,8,
3178938,46.83914884569887,-121.75352026547156,4700.0,2021-12-17T16:47:07.000000Z,315.18096192111204,-56.10582842715272,266.689834011937,18.23333333333333,"0.423211132,1.706786505,0.312844133",79.88434413249894,6,
3179533,46.8553610717988,-121.76789318438372,6400.0,2021-12-26T08:58:51.000000Z,-15.343239766466214,-15.993310364216192,4.06628227526163,36.09166666666666,"0.314565793,1.896155861,0.228909269",42.160327955437296,6,
3173243,46.86252889175464,-121.74820049128012,4800.0,2021-10-14T18:22:14.000000Z,-21.43226607431396,16.01851517828619,-27.97782880819901,17.7,"0.692098104,1.388302414,0.402700105",65.79903183949308,7,
3173158,46.85176994311559,-121.77314838119194,5000.0,2021-10-14T03:24:44.000000Z,-15.379715085152192,327.3793731519441,194.34729323268303,7.854545454545455,"0.190711783,1.598202733,0.119381218",26.7093429497031,11,
3175413,46.85982212341079,-121.74296372832404,5400.0,2021-11-10T16:42:55.525000Z,65.32327466470535,77.93965481267655,58.87326220043409,23.63125000000001,"0.247062789,0.745397449,0.184995665",90.05228259791353,8,
3174673,46.85806497067825,-121.77181941726472,5500.0,2021-11-01T05:15:26.250000Z,103.81012081623744,136.0590748119682,95.22349240921972,24.822222222222223,"0.13694794,1.216270136,0.11316337",40.7253809729892,9,"PARA did not detect, west side stas did"
3171573,46.85539525407362,-121.79543013973232,5900.0,2021-09-23T04:48:49.000000Z,242.18078501397449,206.5223807663247,249.77857088198976,7.884615384615389,"0.336702512,2.616122274,0.231940001",29.55014667847888,13,
3174103,46.8553610717988,-121.76789318438372,3700.0,2021-10-21T02:53:34.000000Z,318.7885211391401,314.7436212086168,306.9633577340356,15.70714285714286,"0.559538506,0.975564045,0.368142646",120.45047830004692,7,
3171018,46.85176994311559,-121.77314838119194,8000.0,2021-09-17T07:12:44.050000Z,190.5121450149653,193.0155896628897,206.36851177410875,16.279166666666672,"0.399458953,0.959652081,0.258511613",70.50845063214284,12,
3170968,46.85448662521108,-121.78756471045016,9600.0,2021-09-17T02:02:26.850000Z,205.47964164616772,197.19598587972263,505.11103853166486,27.45357142857143,"0.343848737,1.5703383,0.211584508",39.440708409689,14,"Strong seismic signal, amplitude locate near Carbon/Russel. Infrasound on west side and CRBN"
3173893,46.85807514275207,-121.77968751059596,7700.0,2021-10-17T11:07:04.000000Z,12.431957625936256,10.495936644172716,-4.515483987681956,15.491176470588236,"0.208133803,1.002163949,0.127402005",43.31019640161887,17,"Strong seismic, impulsive on PARA/KAUT"
3170868,46.85448662521108,-121.78756471045016,9000.0,2021-09-15T19:49:04.800000Z,198.17869341485792,189.578163328298,161.9271804828918,19.430000000000003,"0.274226042,1.522574393,0.166847065",31.77616364461562,15,
3170753,46.8617005670726,-121.80328375269283,6800.0,2021-09-15T06:23:29.000000Z,238.07527444553327,228.706500601162,248.20021021486943,6.175,"0.478018206,0.73405415,0.286544357",103.77934750633987,12,
3172588,46.8427329857208,-121.74433206839936,4200.0,2021-10-08T23:18:04.000000Z,285.4529975411226,39.32453637693517,1041.9430494701292,15.14000000000001,"0.49586447,3.42804329,0.393105134",41.34131839521314,5,
3170593,46.87066864522908,-121.77965379655488,6000.0,2021-09-13T05:19:51.000176Z,322.37376434179924,-12.45988220374267,279.6801977821689,9.106602,"0.344152148,2.2140982,0.252074791",31.450932090745745,8,
3172538,46.86879378275167,-121.72850582118464,2600.0,2021-10-08T18:01:45.000590Z,105.90638909761743,109.1277011432338,99.4816008423474,8.58118,"0.151949076,0.840337738,0.144956271",86.53602982215455,5,
3170513,46.85539525407362,-121.79543013973232,6600.0,2021-09-12T17:23:26.000000Z,291.591641831094,279.72777134540985,300.9539616076436,10.990909090909096,"0.280513021,1.571471487,0.225145037",49.80253806108096,11,
3170463,46.860749176182686,-121.76132048896014,5200.0,2021-09-12T07:49:31.325006Z,6.749290961196705,31.062347379135492,-12.699366171635818,11.392869142857146,"0.143926276,0.773552238,0.097251061",49.20269221283809,7,
3172713,46.85982212341079,-121.74296372832404,4400.0,2021-10-07T12:05:27.875000Z,-14.786926252330543,-15.753955240299454,-17.185580598348537,8.300000000000002,"0.15250144,0.319084386,0.09364648",103.90051483153889,7,
3172348,46.8687892806829,-121.7258826051292,6200.0,2021-10-06T02:42:41.000000Z,66.75778826320938,66.69780784840285,80.36588301429583,17.03333333333332,"0.162523917,1.185630461,0.125414647",44.70440496912436,6,
3172078,46.85081407106861,-121.73512689903284,4300.0,2021-10-01T18:55:49.000000Z,42.68427386915792,43.51091060259816,25.404060120999336,13.943750000000003,"0.243133353,0.873525868,0.184917513",72.24618692527807,8,
3172073,46.87063649903103,-121.75604400908226,6900.0,2021-10-01T18:37:46.000000Z,139.27726576308316,501.1208085424866,134.64006920073004,16.919999999999995,"0.357585613,0.553566455,0.194223392",91.14485137954256,5,
3171763,46.84456661779931,-121.767924424863,5900.0,2021-09-27T10:01:57.001156Z,301.63236192368294,263.9869384198276,-20.62227522132164,13.02374057142857,"0.360686103,2.843488907,0.222398774",26.667588240049422,7,
3169883,46.882314579310005,-121.74551205170498,5400.0,2021-09-06T02:41:56.550000Z,4.684723712348831,-1.2555191523390397,12.639813353781364,36.31250000000001,"0.227026889,0.87770812,0.171767257",63.97784578695195,4,
